stationid,Barangay,Month,Year,Time (AM),Weather Condition,Wind Direction,Color of Water (apparent),Air Temperature (0C),Water Transparency (m),"Depth, m",Water Temperature (0C),Hardness (mg/L)
1,Sampaloc,January ,2018,9:08,Sunny,NE,Green,28,3,,27.3,
1,Quiling,January ,2018,9:40,Sunny,NE,Green,27.5,7.9,,27.2,
1,San Isidro,January ,2018,8:27,Sunny,NE,Green,28,4.5,,27.2,
2,Buso-Buso,January ,2018,8:09,Sunny,SW,Green,27,2.9,,27.2,
2,Leviste,January ,2018,8:51,Sunny,SW,Green,26.5,2.1,,27.1,
3,Bañaga,January ,2018,7:43,Sunny,NE,Green,26.5,3.4,,27.1,
3,Manalaw,January ,2018,7:29,Sunny,NE,Green,26,3.3,,26.8,
4,Mataas na Kahoy,January ,2018,,,,,,,,,
5,Tanauan,January ,2018,6:27,Cold,NE,Green,24.5,6.1,,26.2,
1,Sampaloc,February,2018,7:06,Cloudy,NE,Green,24,4.5,,26.2,
1,Quiling,February,2018,6:42,Cloudy,NE,Green,24,6.2,,26.2,
1,San Isidro,February,2018,7:51,Cloudy,NE,Green,24.5,3.4,,26.3,
2,Buso-Buso,February,2018,8:15,Cloudy,NE,Green,24.5,5.2,,26.6,
2,Leviste,February,2018,7:29,Cloudy,NE,Green,24.5,3.3,,26.3,
3,Ba�aga,February,2018,8:31,Cloudy,NE,Green,24.5,4.5,,29.9,
3,Manalaw,February,2018,8:48,Cloudy,NE,Green,24,4.3,,26.8,
4,Mataas na Kahoy,February,2018,,,,,,,,,
5,Tanauan,February,2018,9:44,Cloudy,NE,Green,25,5.4,,26.8,
1,Sampaloc,March,2018,7:05,Sunny,NE,Green,27,3,,27,
1,Quiling,March,2018,6:39,Sunny,NE,Green,26,3.9,,26.4,
1,San Isidro,March,2018,9:30,Sunny,NE,Green,28,2.9,,27.8,
2,Buso-Buso,March,2018,7:55,Sunny,NE,Green,26.5,3.2,,26.5,
2,Leviste,March,2018,7:29,Sunny,NE,Green,27,3.1,,28.2,
3,Ba�aga,March,2018,8:16,Sunny,NE,Green,27,2.5,,28.2,
3,Manalaw,March,2018,8:31,Sunny,NE,Green,27.5,2.2,,27.5,
4,Mataas na Kahoy,March,2018,,,,,,,,,
5,Tanauan,March,2018,9:50,Sunny,NE,Green,28,4,,27.3,
1,Sampaloc,April,2018,9:17,Sunny,SE,Green,28,2.3,,27.5,563
1,Quiling,April,2018,9:45,Cloudy,SE,Green,28,2.3,,27.4,400
1,San Isidro,April,2018,8:38,Sunny,SE,Green,27,2.5,,27.3,263
2,Buso-Buso,April,2018,8:16,Cloudy,SE,Green,27,3.1,,27.7,170
2,Leviste,April,2018,8:58,Sunny,SE,Green,27,2.6,,27.6,290
3,Ba�aga,April,2018,8:02,Cloudy,SE,Green,26,3,,27.8,323
3,Manalaw,April,2018,7:44,Cloudy,SE,Green,26,2.5,,27.5,237
4,Mataas na Kahoy,April,2018,,,,,,,,,
5,Tanauan,April,2018,6:50,Cloudy,SW,Green,24,2.4,,26.3,207
1,Sampaloc,May,2018,7:14,Sunny,NE,Green,29,2.5,,27.2,130
1,Quiling,May,2018,6:26,Sunny,NE,Green,28,2.7,,27.2,287
1,San Isidro,May,2018,8:19,Sunny,NE,Green,30,2.5,,28.4,153
2,Buso-Buso,May,2018,8:40,Sunny,NE,Green,30,2.4,,28.6,133
2,Leviste,May,2018,7:38,Sunny,NE,Green,29.5,2.5,,28.9,130
3,Ba�aga,May,2018,8:57,Sunny,NE,Green,30,2.2,,30.4,143
3,Manalaw,May,2018,9:23,Sunny,NE,Green,30.5,2.2,,28.6,117
4,Mataas na Kahoy,May,2018,10:23,Sunny,NE,Green,32,2.9,,27.4,93
5,Tanauan,May,2018,10:49,Sunny,NE,Green,32,2.4,,28.8,170
1,Sampaloc,June,2018,9:18,Sunny,NE,Green,31,2.5,,27.7,
1,Quiling,June,2018,9:45,Sunny,NE,Green,31,1.8,,29.5,
1,San Isidro,June,2018,8:40,Sunny,NE,Green,30,1.9,,28.8,
2,Buso-Buso,June,2018,8:22,Sunny,NE,Green,30.5,2.6,,29.8,
2,Leviste,June,2018,9:00,Sunny,NE,Green,30,3.1,,30.3,
3,Ba�aga,June,2018,8:10,Sunny,SW,Green,30,2.9,,30.6,
3,Manalaw,June,2018,7:52,Sunny,NE,Green,29,3.1,,30.5,
4,Mataas na Kahoy,June,2018,7:10,Sunny,SW,Green,28,1.5,,27.3,
5,Tanauan,June,2018,6:37,Sunny,NE,Green,28,2,,27.8,
1,Sampaloc,July,2018,8:54,Sunny,SW,Green,30,2.8,,27.8,
1,Quiling,July,2018,9:19,Sunny,SW,Green,30,2.5,,29.8,
1,San Isidro,July,2018,8:13,Sunny,SW,Green,29,2.2,,27.7,
2,Buso-Buso,July,2018,7:53,Sunny,SW,Green,29.5,3.5,,28,
2,Leviste,July,2018,8:36,Sunny,SW,Green,29,2,,29.6,
3,Ba�aga,July,2018,7:38,Sunny,SW,Green,29,2.5,,29.6,
3,Manalaw,July,2018,7:17,Sunny,SW,Green,28,2.5,,28.1,
4,Mataas na Kahoy,July,2018,6:38,Sunny,SW,Green,28,2.3,,27.4,
5,Tanauan,July,2018,6:13,Sunny,SW,Green,28,2.4,,27.8,
1,Sampaloc,August,2018,9:24,Cloudy,SW,Dark Green ,28,2.9,,29.1,
1,Quiling,August,2018,9:51,Partly Cloudy,SW,Green,29,3.1,,29,
1,San Isidro,August,2018,8:38,Sunny,SW,Dark Green ,28,3.1,,27.4,
2,Buso-Buso,August,2018,8:15,Fair,SW,Green,28,4.3,,28.8,
2,Leviste,August,2018,9:00,Fair,SW,Green,29,3.9,,28.5,
3,Ba�aga,August,2018,8:03,Partly Cloudy,SW,Green,28,3.1,,29.6,
3,Manalaw,August,2018,7:45,Partly Cloudy,SE,Green,28,2.9,,29,
4,Mataas na Kahoy,August,2018,7:06,Cloudy,NE,Green,26,2.1,,27.2,
5,Tanauan,August,2018,6:38,Cloudy,NE,Green,26,3.2,,27,
1,Sampaloc,September,2018,9:58,Cloudy,SE,Green,28,2.7,,27.5,
1,Quiling,September,2018,7:00,Sunny,SW,Green,26,2.6,,28.5,
1,San Isidro,September,2018,9:18,Sunny,SW,Green,28,2.9,,29.1,
2,Buso-Buso,September,2018,8:57,Sunny,SW,Green,28,3.1,,29.1,
2,Leviste,September,2018,9:41,Cloudy,SW,Green,29,2.1,,29.2,
3,Ba�aga,September,2018,8:42,Cloudy,SW,Green,28,3.2,,28.8,
3,Manalaw,September,2018,8:22,Cloudy,SW,Green,28,2.9,,29,
4,Mataas na Kahoy,September,2018,7:45,Sunny,SW,Green,27,3,,27,
5,Tanauan,September,2018,6:30,Cloudy,SW,Green,27,3,,27,
1,Sampaloc,October,2018,9:57,Cloudy,SW,Green,29,3,,27.4,
1,Quiling,October,2018,6:55,Cloudy,SW,Green,26,2.7,,28.2,
1,San Isidro,October,2018,9:14,Sunny,SW,Green,30,2.6,,28.8,
2,Buso-Buso,October,2018,8:54,Sunny,SW,Green,28,2.9,,28.2,
2,Leviste,October,2018,9:38,Cloudy,SW,Green,29,2.93.0,,29.2,
3,Ba�aga,October,2018,8:37,Sunny,SW,Green,28,2.6,,29.4,
3,Manalaw,October,2018,8:19,Sunny,SW,Green,28,3.8,,29.3,
4,Mataas na Kahoy,October,2018,7:39,Sunny,SW,Green,26.5,2.8,,27.2,
5,Tanauan,October,2018,6:34,Sunny,SW,Green,26.5,2.4,,27,
1,Sampaloc,November,2018,9:11,Cloudy,NE,Brownish / Green,28,3.2,,27.2,420
1,Quiling,November,2018,9:38,Cloudy,NE,Green,27,3.3,,29,747
1,San Isidro,November,2018,8:22,Sunny,NE,Brownish / Green,30.5,3.3,,28.2,410
2,Buso-Buso,November,2018,8:02,Sunny,NE,Green,28.6,3.9,,28.7,300
2,Leviste,November,2018,8:48,Cloudy,NE,Green,28.9,3.1,,29.2,287
3,Ba�aga,November,2018,7:44,Sunny,NE,Green,27,4.1,,29.4,300
3,Manalaw,November,2018,7:24,Sunny,NE,Green,27.5,3.1,,29.2,297
4,Mataas na Kahoy,November,2018,6:44,Sunny,NE,Green,26,3.4,,27.8,313
5,Tanauan,November,2018,6:13,Sunny,NE,Green,25.6,4.7,,27,407
1,Sampaloc,December ,2018,6:47,Cloudy,NE,Green,27,4.4,,27.5,430
1,Quiling,December ,2018,6:16,Cloudy,NE,Green,25.5,6,,29.6,300
1,San Isidro,December ,2018,7:43,Cloudy,NE,Green,26,2.9,,27.9,350
2,Buso-Buso,December ,2018,8:05,Cloudy,NE,Green,27,3,,28,357
2,Leviste,December ,2018,7:16,Cloudy,NE,Green,26,3.4,,28,407
3,Ba�aga,December ,2018,8:22,Cloudy,NE,Green,27,2.9,,28,327
3,Manalaw,December ,2018,8:40,Cloudy,NE,Green,27.5,3.1,,28,320
4,Mataas na Kahoy,December ,2018,9:25,Cloudy,NE,Green,28,4.4,,27.2,413
5,Tanauan,December ,2018,9:53,Rainy,NE,Green,27.5,4.5,,27.2,383
1,Sampaloc,January ,2019,8:12,Cloudy,NE,Green,25,4.6,,26.4,110
1,Quiling,January ,2019,8:43,Sunny,NE,Green,26,6.1,,26.8,60
2,Buso-Buso,January ,2019,7:14,Cloudy,NE,Green,25,4,,26.8,343
2,Leviste,January ,2019,7:47,Cloudy,NE,Green,23,3.9,,26.8,400
3,Ba�aga,January ,2019,6:55,Cloudy,NE,Green,25.5,3.9,,26.7,430
3,Manalaw,January ,2019,6:34,Cloudy,NE,Green,25,3.1,,26.5,413
4,Mataas na Kahoy,January ,2019,,,,,,,,,
5,Tanauan,January ,2019,9:06,Sunny,NE,Green,25.5,4.5,,26.3,247
1,Sampaloc,February,2019,8:29,Sunny,NE,Green,26,4.2,,26.8,320
1,Quiling,February,2019,8:56,Sunny,NE,Green,26,5.1,,26.7,417
1,San Isidro,February,2019,6:30,Fair,NE,Dark Green,24,3.6,,26.1,113
2,Buso-Buso,February,2019,6:56,Sunny,NE,Dark Green,25,3.1,,26.8,203
2,Leviste,February,2019,8:07,Sunny,NE,Green,25.5,3.9,,26.8,153
3,Ba�aga,February,2019,7:13,Sunny,NE,Dark Green,25,3.5,,26.8,233
3,Manalaw,February,2019,7:30,Sunny,NE,Dark Green,25,2.9,,26.9,240
4,Mataas na Kahoy,February,2019,,,,,,,,,
5,Tanauan,February,2019,9:16,Cloudy,NE,Green,26,4.8,,26.7,487
1,Sampaloc,March,2019,9:01,Cloudy,NE,Green,25.5,2.4,,26.4,163
1,Quiling,March,2019,9:24,Cloudy,NE,Green,27,3.3,,26.8,143
1,San Isidro,March,2019,8;41,Cloudy,NE,Green,27,1.8,,27,133
2,Buso-Buso,March,2019,7:58,Cloudy,NE,Green,27,2.3,,26.7,150
2,Leviste,March,2019,8:17,Cloudy,NE,Green,27,2.8,,26.8,140
3,Ba�aga,March,2019,7:43,Partly Cloudy,NE,Green,26,2.5,,27.1,130
3,Manalaw,March,2019,7:23,Fair ,NE,Green,26.5,2.4,,27.2,150
4,Mataas na Kahoy,March,2019,6:46,Fair ,NE,Green,24.8,2.6,,26.4,157
5,Tanauan,March,2019,6:21,Fair ,SE,Green,24.5,2.7,,26.3,163
1,Sampaloc,April,2019,8:45,Sunny,NE,Green,31,2.3,,27.2,243
1,Quiling,April,2019,9:09,Sunny,NE,Green,30,3.3,,27.8,233
1,San Isidro,April,2019,8:03,Sunny,NE,Green,29,2.4,,26.8,153
2,Buso-Buso,April,2019,7:42,Sunny,NE,Green,29,2.3,,27.1,163
2,Leviste,April,2019,8:27,Sunny,NE,Green,30,2.2,,28,257
3,Ba�aga,April,2019,7:27,Sunny,NE,Green,29,2.3,,28.9,173
3,Manalaw,April,2019,7:08,Sunny,NE,Green,29,1.9,,29.5,250
4,Mataas na Kahoy,April,2019,6:29,Sunny,NE,Green,28,3.2,,26.8,293
5,Tanauan,April,2019,6:07,Fair ,NE,Green,26,2.5,,26.5,217
1,Sampaloc,May,2019,8:32,Sunny,SE,Green,30,1.9,,27.8,200
1,Quiling,May,2019,8:55,Sunny,SE,Green,30,2.01,,28.8,177
1,San Isidro,May,2019,7:51,Sunny,SE,Green,30,1.9,,27.3,137
2,Buso-Buso,May,2019,7:34,Sunny,SW,Green,29,2.1,,27.9,197
2,Leviste,May,2019,8:15,Sunny,SE,Green,31,1.6,,29.2,187
3,Ba�aga,May,2019,7:21,Sunny,SW,Green,30,1.7,,29.8,150
3,Manalaw,May,2019,7:05,Partly Cloudy,SW,Green,29,2.1,,29.8,230
4,Mataas na Kahoy,May,2019,6:28,Sunny,NE,Green,28,1.7,,27,97
5,Tanauan,May,2019,6:04,Fair ,NE,Green,28,1.9,,26.8,113
1,Sampaloc,June,2019,5:47,Fair ,SW,Green,27,2.4,,27,150
1,Quiling,June,2019,5:28,Fair ,SW,Green,26,2.3,,26.8,143
1,San Isidro,June,2019,6:27,Partly Cloudy,SW,Green,27,2.4,,27.1,127
2,Buso-Buso,June,2019,6:48,Sunny,SW,Green,28,2.9,,27.8,120
2,Leviste,June,2019,6:06,Partly Cloudy,SW,Green,26,2.8,,30.8,157
3,Ba�aga,June,2019,7:03,Sunny,SW,Green,29,3.2,,31,150
3,Manalaw,June,2019,7:20,Sunny,SW,Green,28.5,3,,31.1,220
4,Mataas na Kahoy,June,2019,7:56,Sunny,SW,Green,30,2.8,,27.7,173
5,Tanauan,June,2019,8:20,Sunny,SW,Green,30,2.6,,28.1,373
1,Sampaloc,July,2019,9:06,Sunny,SW,Green,30,3.2,,28.1,107
1,Quiling,July,2019,9:31,Sunny,SW,Green,30,3.1,,27.8,267
1,San Isidro,July,2019,8:27,Sunny,SW,Green,30.5,2.6,,29,120
2,Buso-Buso,July,2019,8:25,Sunny,SW,Green,31,2.1,,30.8,103
2,Leviste,July,2019,8:48,Partly Cloudy,SW,Green,30.5,2.7,,30.8,87
3,Ba�aga,July,2019,7:50,Sunny,SW,Green,30,2.2,,30.8,117
3,Manalaw,July,2019,7:30,Sunny,SW,Green,30,2.7,,30.5,110
4,Mataas na Kahoy,July,2019,6:54,Sunny,SW,Green,29,2.8,,27.2,73
5,Tanauan,July,2019,6:29,Sunny,SW,Green,31,3.3,,27,77
1,Sampaloc,August,2019,7:15,Cloudy,SW,Dark Green,29,3.4,,28.7,
1,Quiling,August,2019,6:48,Cloudy,SW,Green,28,3.3,,28.8,
1,San Isidro,August,2019,7:59,Cloudy,SW,Green,28.5,3.2,,28.9,
2,Buso-Buso,August,2019,8:19,Cloudy,SW,Green,29,3.7,,28.7,
2,Leviste,August,2019,7:35,Cloudy,SW,Dark Green,29,3.8,,28.2,
3,Ba�aga,August,2019,8:41,Partly Cloudy,SW,Dark Green,29,3.3,,29,
3,Manalaw,August,2019,8:59,Cloudy,SW,Dark Green,29,3.4,,28.8,
4,Mataas na Kahoy,August,2019,,,,,,,,,
5,Tanauan,August,2019,,,,,,,,,
1,Sampaloc,September,2019,7:16,Cloudy,SW,Green,28.5,2.9,,28.8,
1,Quiling,September,2019,6:49,Cloudy,SW,Green,27,2.8,,27.8,
1,San Isidro,September,2019,7:56,Cloudy,SW,Green,28.5,3.1,,28.6,
2,Buso-Buso,September,2019,8:15,Partly Cloudy,SW,Green,29,3.4,,29,
2,Leviste,September,2019,7:36,Sunny,SW,Green,27,3.2,,28.8,
3,Ba�aga,September,2019,8:29,Cloudy,SW,Green,29.5,3,,29.4,
3,Manalaw,September,2019,8:45,Sunny,SW,Green,28,3.8,,29,
4,Mataas na Kahoy,September,2019,,,,,,,,,
5,Tanauan,September,2019,6:30,Cloudy,SW,Green,27,3,,28,
1,Sampaloc,October,2019,8:39,Cloudy,NE,Green,28,2.1,,28.4,
1,Quiling,October,2019,9:03,Partly Cloudy,NE,Green,29,3.8,,28.8,
1,San Isidro,October,2019,7:57,Sunny ,NE,Green,29,1.9,,28.8,
2,Buso-Buso,October,2019,7:37,Sunny ,NE,Green,29,2.3,,28.6,
2,Leviste,October,2019,8:18,Sunny ,NE,Green,29,2.2,,30,
3,Ba�aga,October,2019,7:21,Sunny ,NE,Green,28,2.8,,30.1,
3,Manalaw,October,2019,7:04,Sunny ,NE,Green,28,2.4,,28.9,
4,Mataas na Kahoy,October,2019,6:28,Fair ,NE,Green,26.5,5.6,,28.2,
5,Tanauan,October,2019,6:06,Fair ,NE,Green,27,3.5,,28.2,
1,Sampaloc,November,2019,9:20,Cloudy,NE,Green,28,2.2,,28.8,
1,Quiling,November,2019,9:50,Cloudy,NE,Green,29,2.4,,28.1,
1,San Isidro,November,2019,8:25,Cloudy,NE,Green,27,2.6,,28.5,
2,Buso-Buso,November,2019,8:00,Cloudy,NE,Green,27,2.9,,29,
2,Leviste,November,2019,9:00,Cloudy,NE,Green,28,2,,29.4,
3,Ba�aga,November,2019,7:42,Partly Cloudy,NE,Green,27,3.4,,28.9,
3,Manalaw,November,2019,7:23,Partly Cloudy,NE,Green,26.5,2.6,,29,
4,Mataas na Kahoy,November,2019,6:43,Cloudy,NE,Green,26,2.5,,28.8,
5,Tanauan,November,2019,6:18,Cloudy,NE,Green,26,2.2,,28.2,
1,Sampaloc,December ,2019,8:53,Partly Cloudy,NE,Green,28,3.3,,28.2,
1,Quiling,December ,2019,9:14,Sunny ,NE,Green,28,2.1,,27.8,
1,San Isidro,December ,2019,8:06,Partly Cloudy,NE,Green,27,3.9,,27.8,
2,Berinayan,December ,2019,8:37,Sunny ,NE,Green,27,3,,27.8,
2,Buso-Buso,December ,2019,7:47,Partly Cloudy,NE,Green,27,3.8,,28,
2,Leviste,December ,2019,8:27,Partly Cloudy,NE,Green,26,2.8,,28.1,
3,Ba�aga,December ,2019,7:32,Fair ,NE,Green,26,3.5,,28,
3,Manalaw,December ,2019,7:14,Fair ,NE,Green,26,3.1,,27.7,
4,Mataas na Kahoy,December ,2019,6:39,Cloudy,NE,Green,25,3.8,,27.5,
5,Tanauan,December ,2019,6:15,Cloudy,NE,Green,24.5,3.2,,27.3,
1,Sampaloc,January ,2020,,,,,,,,,
1,Quiling,January ,2020,,,,,,,,,
1,San Isidro,January ,2020,,,,,,,,,
2,Buso-Buso,January ,2020,,,,,,,,,
2,Leviste,January ,2020,,,,,,,,,
3,Ba�aga,January ,2020,,,,,,,,,
3,Manalaw,January ,2020,,,,,,,,,
4,Mataas na Kahoy,January ,2020,,,,,,,,,
5,Tanauan,January ,2020,,,,,,,,,
1,Aya,February,2020,8:05,Sunny,NE,Green,26,0.34,,26.2,
