stationid,Barangay,Month,Year,Time (AM),Weather Condition,Wind Direction,Color of Water (apparent),Air Temperature (0C),Water Transparency (m),"Depth, m",Water Temperature (0C),Hardness (mg/L)
1,Sampaloc,February,2020,6:54,Partly Cloudy,NE,Green,25,0.29,,26.5,
1,Quiling,February,2020,7:55,Sunny,NE,Green,25,0.33,,26.2,
1,San Isidro,February,2020,,,,,,,,,
2,Buso-Buso,February,2020,,,,,,,,,
2,Leviste,February,2020,7:17,Partly Cloudy,NE,Green,25,0.3,,26.8,
3,Ba�aga,February,2020,,,,,,,,,
3,Manalaw,February,2020,,,,,,,,,
4,Mataas na Kahoy,February,2020,7:02,Fair,NE,Green,23,5.5,,26.2,
5,Tanauan,February,2020,6:37,Fair,NE,Green,24,6.3,,26.2,
5,Ambulong,February,2020,8:15,Sunny,NE,Green,26,0.34,,26.8,
1,Sampaloc,March,2020,9:11,Sunny,SE,Green,29,1.9,,27.4,
1,Quiling,March,2020,9:33,Sunny,SE,Green,29,0.4,,27.4,
1,San Isidro,March,2020,8:30,Sunny,SE,Green,29,0.35,,27.2,
2,Buso-Buso,March,2020,8:11,Partly Cloudy,SE,Green,28,1.9,,27.1,
2,Leviste,March,2020,8:53,Sunny,SE,Green,28,1.8,,27.2,
3,Ba�aga,March,2020,7:56,Cloudy,SE,Green,28,1.8,,28,
3,Manalaw,March,2020,7:39,Fair,NE,Yellow Green,28,2,,27.5,
4,Mataas na Kahoy,March,2020,6:59,Fair,NE,Green,26,3.4,,26.9,
5,Tanauan,March,2020,6:37,Cloudy,NE,Green,25,2.8,,26.8,
1,Sampaloc,April,2020,8:47,Sunny,NE,Green,30,1.7,,27.9,
1,Quiling,April,2020,9:09,Cloudy,NE,Green,30,2.3,,29.2,
1,San Isidro,April,2020,8:09,Sunny,NE,Green,29,2.2,,27.3,
2,Buso-Buso,April,2020,7:57,Sunny,NE,Green,29,2.3,,27.8,
2,Leviste,April,2020,8:30,Sunny,NE,Green,29,2.1,,29,
3,Ba�aga,April,2020,7:36,Sunny,NE,Green,28,2.2,,29.8,
3,Manalaw,April,2020,7:22,Sunny,NE,Green,28,1.7,,29.7,
4,Mataas na Kahoy,April,2020,6:47,Sunny,NE,Green,27,3.1,,26.9,
5,Tanauan,April,2020,6:25,Sunny,SW,Green,28,2.3,,27.3,
1,Sampaloc,May,2020,8:30,Sunny,SE,Green,30.5,2.1,,29.8,
1,Quiling,May,2020,8:55,Sunny,SE,Green,30,1.9,,29.6,
1,San Isidro,May,2020,8:14,Sunny,NE,Green,29.5,1.7,,29.6,
2,Buso-Buso,May,2020,7:32,Sunny,SE,Green,30,1.8,,29.2,
2,Leviste,May,2020,7:51,Sunny,NE,Green,30,1.7,,28.3,
3,Ba�aga,May,2020,7:17,Sunny,SE,Green,31,2,,28.9,
3,Manalaw,May,2020,7:01,Fair,NE,Green,29,2.1,,29.5,
4,Mataas na Kahoy,May,2020,6:24,Fair,NE,Green,28,1.8,,28,
5,Tanauan,May,2020,6:01,Partly Cloudy,NE,Green,29,1.6,,27.8,
1,Sampaloc,June,2020,8:35,Sunny,NE,Green,30,2.4,,27.8,
1,Quiling,June,2020,8:59,Sunny,NE,Green,30,2.3,,29,
1,San Isidro,June,2020,7:54,Sunny,NE,Green,29.5,2.3,,28.3,
2,Buso-Buso,June,2020,7:31,Sunny,NE,Green,29.5,2.6,,28.8,
2,Leviste,June,2020,8:16,Sunny,NE,Green,30,2.4,,29.9,
3,Ba�aga,June,2020,7:17,Sunny,NE,Green,29,2.9,,30.4,
3,Manalaw,June,2020,7:02,Sunny,NE,Green,29,2.1,,31,
4,Mataas na Kahoy,June,2020,6:24,Fair,NE,Green,29,2.9,,28.8,
5,Tanauan,June,2020,6:03,Fair,NE,Green,29,3.1,,30.5,
1,Sampaloc,July,2020,8:28,Sunny,SE,Green,30,2.1,,29.2,
1,Quiling,July,2020,8:50,Sunny,NE,Green,30,1.9,,30.6,
1,San Isidro,July,2020,7:57,Sunny,NE,Green,29,2.4,,28.4,
2,Buso-Buso,July,2020,7:33,Sunny,NE,Green,29,2.8,,29.3,
2,Leviste,July,2020,8:11,Sunny,SE,Green,31,2.3,,30.8,
3,Ba�aga,July,2020,7:20,Sunny,NE,Green,29,2.4,,30.4,
3,Manalaw,July,2020,7:03,Sunny,NE,Green,29,3.1,,28.4,
4,Mataas na Kahoy,July,2020,6:28,Sunny,NE,Green,28,2.9,,29.2,
5,Tanauan,July,2020,6:05,Sunny,NE,Green,28,2.6,,28.6,
1,Sampaloc,August,2020,9:13,Cloudy,SE,Green,30,1.8,,27.2,
1,Quiling,August,2020,,,,,,,,,
1,San Isidro,August,2020,8:21,Sunny,SW,Green,29,3.8,,27.4,
2,Buso-Buso,August,2020,7:51,Sunny,SE,Green,29,2.5,,27.3,
2,Leviste,August,2020,8:43,Partly Sunny,NE,Green,29.5,1.7,,30.2,
3,Ba�aga,August,2020,7:36,Sunny,NE,Green,29,2.1,,27.3,
3,Manalaw,August,2020,7:18,Partly Sunny,NE,Green,27,2.1,,30.8,
4,Mataas na Kahoy,August,2020,6:43,Fair,NE,Green,27,4.9,,27.1,
5,Tanauan,August,2020,6:16,Fair,NE,Green,27,2.3,,26.9,
1,Sampaloc,September,2020,8:26,Sunny,NE,Green,30,2.2,,29,
1,Quiling,September,2020,8:49,Sunny,NE,Green,30,2,,30.8,
1,San Isidro,September,2020,7:47,Sunny,NE,Green,28,2,,28.2,
2,Buso-Buso,September,2020,7:27,Fair,NE,Green,28,2.1,,29,
2,Leviste,September,2020,8:08,Sunny,NE,Green,29,2.1,,30.9,
3,Ba�aga,September,2020,7:13,Partly Sunny,NE,Green,28,2.4,,30.4,
3,Manalaw,September,2020,6:57,Cloudy,NE,Green,27,2.5,,30.7,
4,Mataas na Kahoy,September,2020,6:24,Cloudy,NE,Green,27,2.6,,27.8,
5,Tanauan,September,2020,6:01,Cloudy,NE,Green,27,2.3,,29.6,
1,Sampaloc,October,2020,6:34,Sunny,NE,Green,29,1.9,,29.2,
1,Quiling,October,2020,6:10,Fair,NE,Green,27,2.4,,29.9,
1,San Isidro,October,2020,7:14,Sunny,NE,Yelow Green,29,1.2,,28.7,
2,Buso-Buso,October,2020,7:33,Sunny,NE,Yelow Green,29,1.5,,30.6,
2,Leviste,October,2020,6:53,Sunny,NE,Green,28,1.7,,31.2,
3,Ba�aga,October,2020,7:47,Sunny,NE,Yelow Green,29.5,2,,31.2,
3,Manalaw,October,2020,8:04,Cloudy,NE,Green,29,2,,31.3,
4,Mataas na Kahoy,October,2020,8:56,Sunny,NE,Ligth Green,30,3.3,,28.8,
5,Tanauan,October,2020,9:57,Cloudy,NE,Yelow Green,30,1.5,,31.1,
1,Sampaloc,November,2020,8:38,Sunny,NE,Green,28.5,3.4,,28.5,
1,Quiling,November,2020,9:05,Sunny,NE,Green,29,4.1,,29,
1,San Isidro,November,2020,7:53,Partly Sunny,NE,Green,27,2.7,,27,
2,Buso-Buso,November,2020,7:31,Sunny,NE,Green,27.5,2.9,,27.5,
2,Leviste,November,2020,8:17,Sunny,NE,Green,28.5,3.3,,28.5,
3,Ba�aga,November,2020,7:17,Sunny,NE,Green,27,3.2,,27,
3,Manalaw,November,2020,7:01,Sunny,NE,Green,27,2.7,,27,
4,Mataas na Kahoy,November,2020,6:24,Fair,NE,Green,25,4.6,,25,
5,Tanauan,November,2020,6:12,Fair,NE,Green,25.5,3.8,,25.5,
1,Sampaloc,December ,2020,6:59,Sunny,NE,Green,28,3.9,,28,
1,Quiling,December ,2020,7:22,Sunny,NE,Green,27,4.1,,27,
1,San Isidro,December ,2020,,,,,,,,,
2,Buso-Buso,December ,2020,,,,,,,,,
2,Leviste,December ,2020,6:34,Fair,NE,Green,26.5,3.1,,26.5,
3,Ba�aga,December ,2020,,,,,,,,,
3,Manalaw,December ,2020,,,,,,,,,
4,Mataas na Kahoy,December ,2020,8:01,Sunny,NE,Green,27,3.8,,27,
5,Tanauan,December ,2020,7:41,Sunny,NE,Dark Green,26.5,4.8,,26.5,
1,Sampaloc,January ,2021,7:30,Cloudy,NE,Green,21,4.9,,26.8,
1,Quiling,January ,2021,7:53,Cloudy / Rain Shower,NE,Green,26,6.1,,26.8,
1,San Isidro,January ,2021,,,,,,,,,
2,Buso-Buso,January ,2021,,,,,,,,,
2,Leviste,January ,2021,,,,,,,,,
3,Ba�aga,January ,2021,,,,,,,,,
3,Manalaw,January ,2021,,,,,,,,,
4,Mataas na Kahoy,January ,2021,8:13,Fair,NE,Green,26,4.8,,26.8,
5,Tanauan,January ,2021,8:34,Partly Cloudy,NE,Green,25.5,7.4,,26.8,
1,Sampaloc,February,2021,7:33,Cloudy / Rain Shower,NE,Green,26,5.2,,26.5,
1,Quiling,February,2021,8:07,Rainy,NE,Green,24.5,5.5,,26.2,
1,San Isidro,February,2021,,,,,,,,,
2,Buso-Buso,February,2021,8:46,Sunny ,NE,Green,26,2,,27.8,
2,Leviste,February,2021,7:09,Cloudy,NE,Green,25.5,4.9,,26.3,
3,Ba�aga,February,2021,8:30,Sunny ,NE,Green,25.5,2.2,,27.4,
3,Manalaw,February,2021,8:13,Sunny ,NE,Green,26,2,,27.5,
4,Mataas na Kahoy,February,2021,7:26,Fair,NE,Green,25,7.1,,26.2,
5,Tanauan,February,2021,7:06,Fair,NE,Green,25,4.1,,26.5,
1,Sampaloc,March,2021,8:10,Sunny ,NE,Green,29,2.8,,28.1,
1,Quiling,March,2021,8:34,Sunny ,NE,Green,28,2.4,,27.2,
1,San Isidro,March,2021,,,,,,,,,
2,Buso-Buso,March,2021,,,,,,,,,
2,Leviste,March,2021,7:48,Sunny,NE,Green,29,3.1,,27.2,
3,Ba�aga,March,2021,,,,,,,,,
3,Manalaw,March,2021,,,,,,,,,
4,Mataas na Kahoy,March,2021,7:00,Fair,NE,Green,25,2.9,,27,
5,Tanauan,March,2021,6:28,Fair,NE,Green,26,3.9,,26.9,
1,Sampaloc,April,2021,10:42,Sunny,NE,Green,30.5,2.5,,28,
1,Quiling,April,2021,7:02,Partly Cloudy,NE,Green,28,2.1,,28.1,
1,San Isidro,April,2021,9:00,Partly Cloudy,SW,Green,30,2.1,,28,
2,Buso-Buso,April,2021,7:57,Sunny,NE,Green,32,1.5,,29,
2,Leviste,April,2021,10:18,Sunny,NE,Green,28,2,,28.5,
3,Ba�aga,April,2021,7:06,Partly Cloudy,NE,Green,31,1.9,,28.7,
3,Manalaw,April,2021,6:38,Cloudy,NE,Green,27,2.6,,27.7,
4,Mataas na Kahoy,April,2021,7:53,Sunny,SW,Green,28,2.4,,27.3,
5,Tanauan,April,2021,7:20,Fair,SW,Green,29,1.9,,27.8,
1,Sampaloc,May,2021,8:08,Partly Cloudy,NE,Green,29,1.9,,28.7,
1,Quiling,May,2021,8:30,Partly Cloudy,NE,Green,29,2,,28.5,
1,San Isidro,May,2021,,,,,,,,,
2,Buso-Buso,May,2021,7:28,Partly Cloudy,NE,Green,28,1.7,,28.2,
2,Leviste,May,2021,7:51,Partly Cloudy,NE,Green,29,1.6,,29.4,
3,Ba�aga,May,2021,7:14,Partly Cloudy,NE,Green,28,1.5,,28.7,
3,Manalaw,May,2021,6:58,Partly Cloudy,NE,Green,28,1.7,,29.6,
4,Mataas na Kahoy,May,2021,6:28,Cloudy,NE,Green,27,3.2,,27.5,
5,Tanauan,May,2021,6:08,Cloudy,NE,Green,26,2.5,,27.2,
1,Sampaloc,June,2021,9:28,Partly Cloudy,SW,Yellow Green ,30.5,1.3,,28.8,
1,Quiling,June,2021,9:59,Cloudy,SW,Yellow Green ,30,1.7,,29.3,
1,San Isidro,June,2021,8:25,Cloudy,SW,Yellow Green ,29,1.1,,29.1,
2,Buso-Buso,June,2021,8:06,Partly Cloudy,SW,Yellow Green ,29,1.2,,29.4,
2,Leviste,June,2021,8:46,Partly Cloudy,SW,Light Yellow Green ,29,1.2,,30,
3,Ba�aga,June,2021,7:52,Cloudy,SW,Yellow Green ,28,1.5,,29.8,
3,Manalaw,June,2021,7:29,Fair,SW,Yellow Green ,28.5,1.5,,30.5,
4,Mataas na Kahoy,June,2021,6:27,Cloudy,SW,Yellow Green ,27,1.4,,28.4,
5,Tanauan,June,2021,6:07,Cloudy,SW,Yellow Green ,27,1.2,,28.3,
1,Sampaloc,July,2021,7:02,Fair,SE,Dark Green,26.5,2.2,50,28.2,
1,Quiling,July,2021,7:30,Partly Sunny,SE,Green,26,2.2,37.1,29.4,
1,San Isidro,July,2021,,,,,,,,,
2,Buso-Buso,July,2021,,,,,,,,,
2,Leviste,July,2021,6:43,Partly Cloudy,SE,Green,25,2.1,29.8,29.3,
3,Ba�aga,July,2021,,,,,,,,,
3,Manalaw,July,2021,,,,,,,,,
4,Mataas na Kahoy,July,2021,8:50,Sunny,NE,Green,31.5,1.95,50,28.5,
5,Tanauan,July,2021,7:42,Partly Sunny,SE,Dark Green,27.5,2.1,30.8,28.4,
1,Sampaloc,August,2021,8:47,Mostly Cloudy,SW,Green,28,2.3,50,29,
1,Quiling,August,2021,9:11,Cloudy,SW,Green,28,2.9,35.5,29.8,
1,San Isidro,August,2021,8:07,Cloudy,NE,Green,28,2.5,50,28.8,
2,Buso-Buso,August,2021,7:45,Cloudy,NW,Green,27.5,1.9,49.9,29.6,
2,Leviste,August,2021,8:30,Cloudy,SW,Green,28,2.2,32.9,28.9,
3,Ba�aga,August,2021,7:30,Cloudy,NW,Green,27,1.8,34.7,28.9,
3,Manalaw,August,2021,7:10,Cloudy,NW,Green,27,2.1,28.6,28.8,
4,Mataas na Kahoy,August,2021,6:34,Cloudy,NW,Green,27,2.7,50,28.8,
5,Tanauan,August,2021,6:14,Cloudy,NW,Green,27.5,2.9,50,28.6,
1,Sampaloc,September,2021,8:44,Cloudy,NE,Green,27,2.3,50,28.8,
1,Quiling,September,2021,9:07,Cloudy,NE,Green,26.5,2.6,32,29,
1,San Isidro,September,2021,8:02,Cloudy,NE,Light Green,26.5,2.1,50,28.8,
2,Buso-Buso,September,2021,8:27,Sunny,NE,Green,28.8,2.8,28.8,29.2,
2,Leviste,September,2021,8:24,Cloudy,NE,Light Green,27,2.2,29,28.9,
3,Ba�aga,September,2021,8:09,Sunny,NE,Green,28.5,3.7,28.5,29.2,
3,Manalaw,September,2021,7:50,Sunny,NE,Green,27.9,3.1,27.9,29.5,
4,Mataas na Kahoy,September,2021,7:13,Fair,NE,Green,27,2.8,50,28.8,
5,Tanauan,September,2021,7:33,Cloudy,NE,Light Green,26,2.8,50,28.5,
1,Sampaloc,October,2021,12:05,Cloudy,NE,Green,28,1.8,50,28,
1,Quiling,October,2021,6:29,Sunny,NE,Dark Green,29,3.2,39,28.9,
1,San Isidro,October,2021,,,,,,,,,
2,Buso-Buso,October,2021,10:09,Cloudy,NE,Green,27,2.4,28.8,29.5,
2,Leviste,October,2021,11:49,Cloudy,NE,Green,29,1.5,34,29,
3,Ba�aga,October,2021,9:44,Cloudy,NE,Green,27,2.2,28.5,29.3,
3,Manalaw,October,2021,8:28,Cloudy,NE,Green,28.5,2.9,27.9,29,
4,Mataas na Kahoy,October,2021,8:44,Sunny ,NE,Green,28.5,2.9,50,28.9,
5,Tanauan,October,2021,6:58,Sunny ,NE,Green,29.5,3.9,50,28.9,
1,Sampaloc,November,2021,11:50,Cloudy,NE,Green,28.5,2.2,50,27.7,
1,Quiling,November,2021,6:23,Cloudy,E,Green,25,4.1,33,28.2,
1,San Isidro,November,2021,,,,,,,,,
2,Buso-Buso,November,2021,9:40,Sunny,NE,Green,30,2.8,57,28.8,
2,Leviste,November,2021,11:03,Sunny,NE,Green,29,1.9,32,28,
3,Ba�aga,November,2021,9:16,Sunny,NE,Green,29,2.9,34,28.8,
3,Manalaw,November,2021,7:38,Partly Cloudy,NE,Green,29,2.7,50,27.8,
4,Mataas na Kahoy,November,2021,8:03,Partly Cloudy,NE,Green,28,4.8,50,28.2,
5,Tanauan,November,2021,8:35,Partly Cloudy,NE,Green,28,4.7,50,28.8,
1,Sampaloc,December ,2021,10:55,Sunny,NE,Green,28,4.1,50,26.9,
1,Quiling,December ,2021,11:35,Sunny,NE,Green,29,,,26.8,
1,San Isidro,December ,2021,,,,,,,,,
2,Buso-Buso,December ,2021,,,,,,,,,
2,Leviste,December ,2021,,,,,,,,,
3,Ba�aga,December ,2021,9:50,Sunny,NE,Green,27,3.8,18,26.9,
3,Manalaw,December ,2021,,,,,,,,,
4,Mataas na Kahoy,December ,2021,,,,,,,,,
5,Tanauan,December ,2021,11:56,Sunny,NE,Green,27,,,29.2,
1,Sampaloc,January ,2022,8:30,Sunny,ENE,Dark Green,27.5,3.3,30,26.8,
1,Quiling,January ,2022,7:52,Fair,NE,Dark Green,27.5,5.3,50,26.8,
1,San Isidro,January ,2022,,,,,,,,,
2,Buso-Buso,January ,2022,10:03,Sunny,NE,Dark Green,26.7,3.9,50,26.9,
2,Leviste,January ,2022,11:53,Sunny,ENE,Dark Green,27.5,2.9,31,26.8,
3,Bañaga,January ,2022,9:36,Sunny,NE,Dark Green,25.8,3.2,39,26.8,
3,Manalaw,January ,2022,7:56,Fair,NE,Dark Green,25.5,3.1,50,26.5,
4,Mataas na Kahoy,January ,2022,6:57,Cloudy,NE,Dark Green,24.9,8.9,50,26.2,
5,Tanauan,January ,2022,6:57,Fair,NE,Dark Green,25.8,4.5,50,26.5,
1,Sampaloc,February,2022,7:51,Sunny,E,Green,26.5,2.4,50,26.8,
1,Quiling,February,2022,8:14,Sunny,E,Green,27,2.4,28,26.9,
1,San Isidro,February,2022,7:09,Fair,ENE,Green,27,1.8,50,26.9,
2,Buso-Buso,February,2022,8:20,Sunny,SE,Green,27,1.9,50,27.3,
2,Leviste,February,2022,7:32,Sunny,E,Green,25.5,1.9,30,26.9,
3,Ba�aga,February,2022,8:05,Sunny,SE,Green,27,2.1,35,27.3,
3,Manalaw,February,2022,7:48,Partly Cloudy,E,Green,25.3,2.3,29,27,
4,Mataas na Kahoy,February,2022,7:14,Partly Cloudy,SE,Green,25,4.3,50,26.5,
5,Tanauan,February,2022,6:51,Sunny,SE,Green,25,4.6,50,26.5,
1,Sampaloc,March,2022,7:16,Sunny,ENE,Green,28.3,2.1,50,27.4,
1,Quiling,March,2022,7:37,Sunny,ENE,Green,31.5,2.2,28,27.4,
1,San Isidro,March,2022,8:24,Sunny,ENE,Green,28,1.8,50,27.3,
2,Buso-Buso,March,2022,8:06,Partly Cloudy,ENE,Green,27,2.2,49,27,
2,Leviste,March,2022,6:55,Partly Cloudy,ENE,Green,25.9,2.2,29,27,
3,Ba�aga,March,2022,7:52,Sunny,E,Green,27,2.1,33,27.3,
3,Manalaw,March,2022,7:36,Sunny,E,Green,27,2.3,34,27.3,
4,Mataas na Kahoy,March,2022,6:58,Sunny,NE,Green,26,1.7,50,27.1,
