stationid,Barangay,Month,Year,pH,Ammonia,DO,Nitrate,Phosphate
1,Sampaloc,January ,2018,8.05,0.66,5.95,0.06,2.39
1,Quiling,January ,2018,8.06,0.56,3.37,0.14,2.27
1,San Isidro,January ,2018,8.01,0.56,3.6,0.14,2.38
2,Buso-Buso,January ,2018,8.04,0.61,3.04,0.08,2.31
2,Leviste,January ,2018,8.02,0.56,4.41,0.11,2.27
3,Bañaga,January ,2018,8,0.63,2.34,0.19,2.27
3,Manalaw,January ,2018,8.19,0.5,4.27,0.08,2.22
4,Mataas na Kahoy,January ,2018,8.15,0.53,5.1,0.12,2.24
5,Tanauan,January ,2018,8.15,0.53,5.2,0.12,2.24
1,Sampaloc,February,2018,7.8,0.53,4.2,0.11,2.47
1,Quiling,February,2018,7.9,0.32,6,0.38,2.43
1,San Isidro,February,2018,7.86,0.5,5,0.15,2.36
2,Buso-Buso,February,2018,7.7,0.61,5.6,0.22,2.41
2,Leviste,February,2018,7.89,0.49,4.95,0.17,2.38
3,Bañaga,February,2018,7.78,0.42,5.1,0.29,2.34
3,Manalaw,February,2018,7.86,0.34,5.3,0.36,2.35
4,Mataas na Kahoy,February,2018,7.86,0.34,4.8,0.36,2.35
5,Tanauan,February,2018,7.72,0.33,4.15,0.23,2.43
1,Sampaloc,March,2018,8.32,0.35,5.47,0.06,2.52
1,Quiling,March,2018,8.19,0.36,5.17,0.14,2.48
1,San Isidro,March,2018,8.16,0.36,4.85,0.14,2.45
2,Buso-Buso,March,2018,8.11,0.39,5.29,0.08,2.4
2,Leviste,March,2018,8.23,0.36,4.59,0.11,2.37
3,Bañaga,March,2018,8.19,0.42,3.53,0.19,2.43
3,Manalaw,March,2018,8.09,0.36,4.64,0.08,2.37
4,Mataas na Kahoy,March,2018,8.11,0.3,4.25,0.12,2.19
5,Tanauan,March,2018,8.15,0.34,4.14,0.12,2.48
1,Sampaloc,April,2018,8.41,0.36,4.55,0.11,2.38
1,Quiling,April,2018,8.46,0.36,5.74,0.38,2.4
1,San Isidro,April,2018,8.39,0.39,5.49,0.15,2.38
2,Buso-Buso,April,2018,8.12,0.36,3.35,0.22,2.35
2,Leviste,April,2018,8.32,0.42,4.43,0.17,2.37
3,Bañaga,April,2018,8.08,0.3,3.69,0.29,2.38
3,Manalaw,April,2018,8.33,0.34,5.01,0.36,2.35
4,Mataas na Kahoy,April,2018,8.11,0.36,4.1,0.36,
5,Tanauan,April,2018,8.04,0.36,4.1,0.23,2.33
1,Sampaloc,May,2018,8.31,0.08,6.37,0.11,2.32
1,Quiling,May,2018,8.27,,6.72,0.38,2.41
1,San Isidro,May,2018,8.35,0.03,6.39,0.15,2.44
2,Buso-Buso,May,2018,8.42,0.07,5.21,0.22,2.38
2,Leviste,May,2018,8.35,0.03,4.3,0.17,2.48
3,Bañaga,May,2018,8.38,0.02,5.24,0.29,2.46
3,Manalaw,May,2018,8.37,,5.29,0.36,2.39
4,Nangkaan,May,2018,8.64,0.3,7.12,0.19,2.51
5,Tanauan,May,2018,8.52,0.02,7.77,0.36,2.52
1,Sampaloc,June,2018,7.99,0.49,5.38,0.06,2.63
1,Quiling,June,2018,8.39,0.25,5.64,0.13,2.44
1,San Isidro,June,2018,8.33,0.31,5.47,0.09,2.45
2,Buso-Buso,June,2018,8.2,0.48,3.51,0.11,2.55
2,Leviste,June,2018,8.26,0.41,5.53,0.11,3.09
3,Bañaga,June,2018,8.44,0.39,3.61,0.12,2.43
3,Manalaw,June,2018,8.58,0.38,3.74,0.07,2.46
4,Nangkaan,June,2018,8.33,0.29,5.83,0.1,2.46
5,Tanauan,June,2018,8.3,0.37,5.68,0.02,2.58
1,Sampaloc,July,2018,8.24,0.37,5.08,0.03,2.55
1,Quiling,July,2018,8.23,0.17,5.92,0.05,2.51
1,San Isidro,July,2018,8.32,0.28,6.05,0.03,2.37
2,Buso-Buso,July,2018,8.31,0.31,5.29,0.07,2.6
2,Leviste,July,2018,8.33,0.25,5.73,0.02,2.58
3,Bañaga,July,2018,8.33,0.24,5.95,0.08,2.51
3,Manalaw,July,2018,8.34,0.37,5.21,0.11,2.52
4,Nangkaan,July,2018,8.34,0.28,5.84,0.11,2.48
5,Tanauan,July,2018,8.22,0.25,6.23,0.05,2.52
1,Sampaloc,August,2018,8.45,0.51,4.44,0.03,2.6
1,Quiling,August,2018,8.66,0.23,8.79,0.09,2.45
1,San Isidro,August,2018,8.52,0.88,6.86,0.03,2.56
2,Buso-Buso,August,2018,8.25,0.42,3.47,0.06,2.5
2,Leviste,August,2018,8.33,0.34,5.75,0.07,2.5
3,Bañaga,August,2018,8.21,0.31,5.26,0.08,2.38
3,Manalaw,August,2018,8.22,0.2,5.13,0.05,2.26
4,Nangkaan,August,2018,8.21,0.22,7.88,0.08,2.44
5,Tanauan,August,2018,8.24,0.22,7.23,0.04,2.49
1,Sampaloc,September,2018,8.28,0.46,7.22,0.12,2.51
1,Quiling,September,2018,8.11,0.25,9.26,0.05,2.18
1,San Isidro,September,2018,8.28,0.4,6.2,0.08,2.41
2,Buso-Buso,September,2018,8.23,0.5,3.54,0.04,2.47
2,Leviste,September,2018,8.26,0.35,5.49,0.05,2.46
3,Bañaga,September,2018,8.34,0.55,5.73,0.14,2.25
3,Manalaw,September,2018,8.37,0.2,5.51,0.09,2.3
4,Nangkaan,September,2018,8.34,0.55,8.64,0.03,2.5
5,Tanauan,September,2018,8.24,0.34,7,0.06,2.47
1,Sampaloc,October,2018,7.67,0.56,7.22,0.04,2.38
1,Quiling,October,2018,8,0.32,9.34,0.07,2.2
1,San Isidro,October,2018,8,0.29,6.33,0.04,2.31
2,Buso-Buso,October,2018,8,0.46,5.54,0.06,2.39
2,Leviste,October,2018,8.08,0.25,5.49,0.13,2.2
3,Bañaga,October,2018,8.08,0.27,5.73,0.14,2.3
3,Manalaw,October,2018,8,0.23,5.51,0.1,2.39
4,Nangkaan,October,2018,7.92,0.43,8.7,0.05,2.46
5,Tanauan,October,2018,8.25,0.34,5,0.01,2.45
1,Sampaloc,November,2018,7.58,0.5,5.13,0.01,2.6
1,Quiling,November,2018,7.83,0.12,5.34,0.02,2.39
1,San Isidro,November,2018,7.92,0.37,5.07,0.02,2.54
2,Buso-Buso,November,2018,7.83,0.51,4.45,0.07,2.25
2,Leviste,November,2018,8.08,0.29,5.38,0.03,2.51
3,Bañaga,November,2018,7.92,0.27,5.07,0.06,2.49
3,Manalaw,November,2018,8.25,0.26,5.44,0.05,2.48
4,Nangkaan,November,2018,7.83,0.25,4.97,0.06,2.48
5,Tanauan,November,2018,7.75,0.41,5.15,0.11,2.36
1,Sampaloc,December ,2018,7.67,0.17,3.64,0.11,2.6
1,Quiling,December ,2018,7.92,0.03,5.62,0.17,2.47
1,San Isidro,December ,2018,7.92,0.1,5.28,0.12,2.52
2,Buso-Buso,December ,2018,7.92,0.1,4.28,0.19,2.56
2,Leviste,December ,2018,7.83,,4.27,0.13,1.91
3,Bañaga,December ,2018,7.92,0.47,5.6,0.16,2.86
3,Manalaw,December ,2018,8.17,,5.23,0.1,2.43
4,Nangkaan,December ,2018,7.92,0.1,5.23,0.06,2.44
5,Tanauan,December ,2018,7.42,0.17,5.96,0.11,2.55
1,Sampaloc,January ,2019,8.15,0.29,3.42,0.24,2.46
1,Quiling,January ,2019,8.06,0.1,4.05,0.3,2.5
2,Buso-Buso,January ,2019,8.16,0.21,5.95,0.24,2.4
2,Leviste,January ,2019,8.24,0.15,4.06,0.25,2.36
3,Bañaga,January ,2019,8.18,0.16,5.22,0.24,2.34
3,Manalaw,January ,2019,8.2,0.13,4.15,0.2,2.31
4,Nangkaan,January ,2019,,0.18,4.1,0.16,2.1
5,Tanauan,January ,2019,8.17,0.08,5.11,0.24,2.58
1,Sampaloc,February,2019,7.75,0.01,5.94,0.28,2.31
1,Quiling,February,2019,7.75,0.02,5.79,0.28,2.43
1,San Isidro,February,2019,7.92,0.03,4.3,0.27,2.27
2,Buso-Buso,February,2019,7.83,0.07,4.24,0.26,2.33
2,Leviste,February,2019,7.83,0.03,3.51,0.26,2.44
3,Bañaga,February,2019,7.92,0.01,3.6,0.2,2.16
3,Manalaw,February,2019,7.75,0.01,3.62,0.16,2.53
4,Nangkaan,February,2019,8.12,0.16,3.25,0.14,
5,Tanauan,February,2019,7.83,0.01,5.92,0.31,2.43
1,Sampaloc,March,2019,7.83,0.13,5.47,0.21,2.37
1,Quiling,March,2019,8,0.31,5.1,0.22,2.52
1,San Isidro,March,2019,8,0.12,4.68,0.21,2.35
2,Buso-Buso,March,2019,7.83,0.09,5.32,0.23,2.41
2,Leviste,March,2019,7.83,0.12,6.34,0.23,2.53
3,Bañaga,March,2019,7.83,0.24,5.6,0.11,2.55
3,Manalaw,March,2019,7.92,0.15,5.51,0.11,2.35
4,Nangkaan,March,2019,8.08,0.07,6.62,0.15,2.24
5,Tanauan,March,2019,7.92,0.05,5.6,0.22,2.29
1,Sampaloc,April,2019,8,0.09,5.83,0.24,2.77
1,Quiling,April,2019,7.92,0.11,4.92,0.23,2.49
1,San Isidro,April,2019,7.92,0.1,5.76,0.24,2.55
2,Buso-Buso,April,2019,8.08,0.34,4.85,0.13,2.66
2,Leviste,April,2019,8.08,0.13,5.98,0.29,2.45
3,Bañaga,April,2019,8,0.28,3.98,0.17,2.36
3,Manalaw,April,2019,8.17,0.25,4.4,0.22,2.44
4,Nangkaan,April,2019,8.33,0.18,6.17,0.3,2.44
5,Tanauan,April,2019,7.92,0.12,5.96,0.22,2.24
1,Sampaloc,May,2019,7.92,0.12,5.56,0.21,2.61
1,Quiling,May,2019,8.25,0.11,4.94,0.19,2.56
1,San Isidro,May,2019,7.92,0.18,6.29,0.05,2.61
2,Buso-Buso,May,2019,7.92,0.37,2.89,0.09,2.64
2,Leviste,May,2019,8.25,0.11,4.94,0.11,2.57
3,Bañaga,May,2019,8.33,0.17,5.92,0.1,2.42
3,Manalaw,May,2019,8,0.14,5.77,0.1,2.5
4,Nangkaan,May,2019,8.33,0.15,5.49,0.25,2.52
5,Tanauan,May,2019,8.33,0.15,5.84,0.42,2.54
1,Sampaloc,June,2019,8.17,0.33,3.9,0.11,2.64
1,Quiling,June,2019,7.92,0.38,5.28,0.1,2.6
1,San Isidro,June,2019,8.08,0.41,3.65,0.12,2.45
2,Buso-Buso,June,2019,8.17,0.53,2.78,0.1,2.76
2,Leviste,June,2019,8.33,0.42,2.3,0.11,2.54
3,Bañaga,June,2019,8.33,0.47,2.03,0.13,2.51
3,Manalaw,June,2019,8.42,0.39,2.46,0.11,2.53
4,Nangkaan,June,2019,8.33,0.26,6.26,0.13,2.58
5,Tanauan,June,2019,8.33,0.33,6.11,0.1,2.56
1,Sampaloc,July,2019,8.08,0.27,4.33,0.08,2.7
1,Quiling,July,2019,7.92,0.37,5.14,0.06,2.75
1,San Isidro,July,2019,8,0.28,4.77,0.06,2.7
2,Buso-Buso,July,2019,7.83,0.39,4.45,0.09,2.55
2,Leviste,July,2019,8.08,0.25,4.2,0.11,2.66
3,Bañaga,July,2019,8.17,0.28,4.05,0.07,2.45
3,Manalaw,July,2019,8.08,0.31,5.22,0.06,2.55
4,Nangkaan,July,2019,7.92,0.17,5.58,0.04,2.5
5,Tanauan,July,2019,8.17,0.2,5.77,0.06,2.53
1,Sampaloc,August,2019,8.08,0.19,4.6,0.12,2.53
1,Quiling,August,2019,8.17,0.16,5.46,0.15,2.47
1,San Isidro,August,2019,8.25,0.16,5.18,0.06,2.63
2,Buso-Buso,August,2019,8.25,0.17,4.57,0.12,2.45
2,Leviste,August,2019,8.17,0.18,4.35,0.09,2.58
3,Bañaga,August,2019,8.08,0.16,5.04,0.17,2.53
3,Manalaw,August,2019,8.25,0.14,4.92,0.2,2.63
4,Nangkaan,August,2019,8.17,0.18,4.35,4,
5,Tanauan,August,2019,8.08,0.16,5.04,0.15,
1,Sampaloc,September,2019,8.08,0.3,3.1,0.03,2.47
1,Quiling,September,2019,8,0.34,4.81,0.19,2.55
1,San Isidro,September,2019,8,0.31,3.74,0.2,2.51
2,Buso-Buso,September,2019,8.08,0.37,3.63,0.14,2.49
2,Leviste,September,2019,7.92,0.24,3.76,0.01,2.49
3,Bañaga,September,2019,7.92,0.31,3.36,0.12,2.5
3,Manalaw,September,2019,7.83,0.24,3.45,0.04,2.43
4,Nangkaan,September,2019,7.92,0.31,3.36,0.12,2.5
5,Tanauan,September,2019,8,0.24,5.16,0.02,2.56
1,Sampaloc,October,2019,8,0.29,5.63,0.01,2.51
1,Quiling,October,2019,8,0.2,5.87,0.03,2.46
1,San Isidro,October,2019,7.92,0.36,5.73,0.02,2.48
2,Buso-Buso,October,2019,7.83,0.44,5.9,0.02,2.55
2,Leviste,October,2019,8.25,0.21,5.34,0.01,2.4
3,Bañaga,October,2019,8,0.44,5.02,0.03,2.58
3,Manalaw,October,2019,8.17,0.2,5.87,,2.39
4,Nangkaan,October,2019,8,0.21,5.11,0.02,2.4
5,Tanauan,October,2019,8,0.25,5.95,0.02,2.48
1,Sampaloc,November,2019,8.08,0.2,5.17,0.01,2.41
1,Quiling,November,2019,7.92,0.22,5.82,0.03,2.5
1,San Isidro,November,2019,8,0.33,5.89,0.01,2.35
2,Buso-Buso,November,2019,7.83,0.4,5.36,0.01,2.19
2,Leviste,November,2019,7.92,0.17,5.86,0.01,2.15
3,Bañaga,November,2019,8,0.31,5.46,,2.31
3,Manalaw,November,2019,8.17,0.22,5.48,0.01,2.19
4,Nangkaan,November,2019,8.17,0.16,5.38,0.03,2.19
5,Tanauan,November,2019,8.08,0.18,5.94,0.01,2.29
1,Sampaloc,December ,2019,7.75,0.34,5.35,0.16,2.63
1,Quiling,December ,2019,7.75,0.45,5.97,0.2,2.63
1,San Isidro,December ,2019,7.67,0.41,5.81,0.18,2.59
2,Berinayan,December ,2019,7.83,0.18,5.03,0.19,2.76
2,Buso-Buso,December ,2019,7.83,0.36,5.74,0.16,2.59
2,Leviste,December ,2019,7.83,0.38,5.14,0.18,2.54
3,Bañaga,December ,2019,7.83,0.36,5.94,0.12,2.45
3,Manalaw,December ,2019,7.83,0.36,5.15,0.12,2.68
4,Nangkaan,December ,2019,8.08,0.36,5.93,0.21,2.7
5,Tanauan,December ,2019,7.75,0.45,5.98,0.28,2.71
1,Sampaloc,January ,2020,8.17,0.16,5.38,0.03,2.19
1,Quiling,January ,2020,8.08,0.18,5.94,0.01,2.29
1,San Isidro,January ,2020,7.75,0.34,5.35,0.16,2.63
2,Buso-Buso,January ,2020,7.75,0.45,4.97,0.2,2.63
2,Leviste,January ,2020,7.67,0.41,5.81,0.18,2.59
3,Bañaga,January ,2020,7.83,0.18,5.03,0.19,2.76
3,Manalaw,January ,2020,7.83,0.36,5.74,0.16,2.59
4,Mataas na Kahoy,January ,2020,7.83,0.38,5.14,0.18,2.54
5,Tanauan,January ,2020,8.08,0.36,5.93,0.21,2.7
1,Aya,February,2020,6.49,0.09,5.42,0.08,2.54
1,Sampaloc,February,2020,7.87,0.24,5.78,0.14,2.56
1,Quiling,February,2020,6.49,0.28,5.4,0.11,2.51
1,San Isidro,February,2020,7.67,0.41,5.81,0.18,2.59
2,Buso-Buso,February,2020,7.67,0.41,5.81,0.18,2.59
2,Leviste,February,2020,7.2,0.27,5.35,0.06,2.45
3,Bañaga,February,2020,7.67,0.41,2.81,0.18,2.59
3,Manalaw,February,2020,7.2,0.27,4.35,0.06,2.45
4,Nangkaan,February,2020,7.89,0.04,5.82,0.38,2.56
5,Tanauan,February,2020,7.83,0.04,4.46,0.23,2.53
5,Ambulong,February,2020,6.63,0.09,5.91,0.08,2.55
1,Sampaloc,March,2020,7.63,0.08,6.15,0.07,2.52
1,Quiling,March,2020,7.65,0.16,6.04,0.17,2.48
1,San Isidro,March,2020,7.62,0.1,6.07,0.06,2.53
2,Buso-Buso,March,2020,7.47,0.06,6.05,0.07,2.53
2,Leviste,March,2020,7.39,0.05,5.63,0.05,2.5
3,Bañaga,March,2020,7.57,0.05,5.6,0.06,2.45
3,Manalaw,March,2020,7.39,0.05,6.25,0.04,2.48
4,Nangkaan,March,2020,7.47,0.04,5.71,0.07,2.41
5,Tanauan,March,2020,7.55,0.06,6.1,0.11,2.47
1,Sampaloc,April,2020,8.86,0.28,5.72,0.18,2.58
1,Quiling,April,2020,8.92,0.2,6.04,0.07,2.57
1,San Isidro,April,2020,8.85,0.19,5.93,0.17,2.66
2,Buso-Buso,April,2020,8.77,0.22,5.13,0.13,3.03
2,Leviste,April,2020,8.94,0.28,5.55,0.07,2.84
3,Bañaga,April,2020,8.88,0.22,5.02,0.14,2.88
3,Manalaw,April,2020,8.83,0.22,5.92,0.2,2.48
4,Nangkaan,April,2020,8.88,0.22,5.17,0.15,2.63
5,Tanauan,April,2020,8.86,0.61,5.05,0.16,2.57
1,Sampaloc,May,2020,8,0.15,4.88,0.25,2.58
1,Quiling,May,2020,8.25,0.11,5.01,0.17,2.58
1,San Isidro,May,2020,8.08,0.2,4.46,0.15,2.58
2,Buso-Buso,May,2020,8.25,0.19,5.99,0.19,2.58
2,Leviste,May,2020,8.17,0.11,4.61,0.28,2.5
3,Bañaga,May,2020,8.08,0.2,5.39,0.22,2.58
3,Manalaw,May,2020,8.17,0.16,5.34,0.17,2.67
4,Nangkaan,May,2020,8.33,0.12,5.7,0.16,2.5
5,Tanauan,May,2020,8.33,0.09,5.92,0.19,2.83
1,Sampaloc,June,2020,7.83,0.07,4.07,0.03,2.56
1,Quiling,June,2020,7.92,0.13,5.36,0.09,2.53
1,San Isidro,June,2020,8.08,0.08,6.4,0.2,2.41
2,Buso-Buso,June,2020,7.83,0.31,2.7,0.17,2.64
2,Leviste,June,2020,8.17,0.15,4.39,0.16,2.29
3,Bañaga,June,2020,8.08,0.32,3.32,0.19,2.49
3,Manalaw,June,2020,8.42,0.25,4.65,,2.3
4,Nangkaan,June,2020,8.33,0.17,6.47,0.07,2.49
5,Tanauan,June,2020,8.25,0.2,5.31,0.09,2.69
1,Sampaloc,July,2020,8.14,0.21,1.95,0.06,3
1,Quiling,July,2020,8.39,0.37,3.28,0.02,3
1,San Isidro,July,2020,8.02,0.24,5.73,0.04,3
2,Buso-Buso,July,2020,8.1,0.37,5.61,0.03,3
2,Leviste,July,2020,8.13,0.31,5.95,0.06,3
3,Bañaga,July,2020,8.17,0.31,5.05,0.01,3
3,Manalaw,July,2020,8.13,0.23,6.2,0.01,3
4,Nangkaan,July,2020,8.2,0.2,5.73,0.06,3
5,Tanauan,July,2020,8.16,0.17,4.71,0.04,3
1,Sampaloc,August,2020,7.75,0.33,2.2,0.06,2.54
1,Quiling,August,2020,,,,0.05,2.81
1,San Isidro,August,2020,7.75,0.32,3.53,0.03,2.47
2,Buso-Buso,August,2020,7.5,0.52,5.7,0.03,2.21
2,Leviste,August,2020,7.92,0.45,5.4,0.04,2.45
3,Bañaga,August,2020,7.67,0.75,5.5,0.01,1.78
3,Manalaw,August,2020,8.17,0.26,4.87,,
4,Nangkaan,August,2020,7.83,0.2,6.64,,
5,Tanauan,August,2020,7.83,0.3,6.84,,
1,Sampaloc,September,2020,8,0.13,5.76,0.02,2.55
1,Quiling,September,2020,8.25,0.09,5.06,0.03,2.45
1,San Isidro,September,2020,8.17,0.15,4.75,0.06,2.54
2,Buso-Buso,September,2020,8.08,0.17,4.01,0.05,2.81
2,Leviste,September,2020,8.08,0.16,5.7,0.03,2.47
3,Bañaga,September,2020,7.92,0.18,3.2,0.03,2.21
3,Manalaw,September,2020,8.25,0.09,5.59,0.04,2.45
4,Nangkaan,September,2020,8.17,0.05,6.51,0.01,1.78
5,Tanauan,September,2020,7.75,0.05,6.52,0.03,2.38
1,Sampaloc,October,2020,8.25,0.19,2.57,0.14,2.89
1,Quiling,October,2020,8.5,0.24,4.37,0.17,2.4
1,San Isidro,October,2020,8.25,0.18,6.36,0.07,2.43
2,Buso-Buso,October,2020,8.33,0.36,5.74,0.13,2.43
2,Leviste,October,2020,8.25,0.2,5.3,0.09,2.27
3,Bañaga,October,2020,8.5,0.27,5.56,0.17,2.38
3,Manalaw,October,2020,8.17,0.14,6.36,0.12,2.38
4,Nangkaan,October,2020,8.5,0.24,6.1,0.09,2.36
5,Tanauan,October,2020,8.25,0.1,6.09,0.02,2.38
1,Sampaloc,November,2020,7.92,0.32,5.36,0.19,2.68
1,Quiling,November,2020,7.92,0.27,4.2,0.23,2.63
1,San Isidro,November,2020,7.75,0.29,6.06,,2.58
2,Buso-Buso,November,2020,7.92,0.34,5.68,0.16,2.64
2,Leviste,November,2020,8,0.29,5.89,0.11,2.6
3,Bañaga,November,2020,7.92,0.27,4.27,0.26,2.61
3,Manalaw,November,2020,7.92,0.3,4.47,0.02,2.46
4,Nangkaan,November,2020,8.08,0.23,5.33,0.15,2.57
5,Tanauan,November,2020,7.75,0.26,4.48,0.28,2.25
1,Sampaloc,December ,2020,7.67,0.33,5.57,0.16,2.29
1,Quiling,December ,2020,7.58,0.24,4.67,,2.74
1,San Isidro,December ,2020,,,5.25,,
2,Buso-Buso,December ,2020,,,5.1,0.14,
2,Leviste,December ,2020,7.67,0.34,4.86,0.18,2.49
3,Bañaga,December ,2020,,,,0.15,
3,Manalaw,December ,2020,,,,0.14,
4,Nangkaan,December ,2020,7.75,0.2,5.71,0.14,2.07
5,Tanauan,December ,2020,7.58,0.19,5.6,0.17,2.52
1,Sampaloc,January ,2021,7.75,0.19,3.89,0.07,2.78
1,Quiling,January ,2021,7.75,0.35,4.4,0.13,2.8
1,San Isidro,January ,2021,,,5.25,0.09,
2,Buso-Buso,January ,2021,,0.3,5.25,0.17,
2,Leviste,January ,2021,,0.3,4.25,0.12,
